,uf_unique_,stop_id,name,operator,mode,direction,route_id,related_ro,related__1,related__2,headway_av,headway__1,headway__2,headway__3,hourly_arr,hourly_a_1,hourly_a_2,hourly_a_3,total_arri,total_ar_1,geometry_k,geometry
1724,f-9q9-scmtdcom_1742,2704R,Santa Cruz Metro Center - Lane 4,Santa Cruz Metro,Bus,0,71,71,Santa Cruz / Watsonville,710027,60.0,60.0,60.0,76.36,1.0,1.0,1.0,0.75,18.0,14.0,a46a4d28810f3e73,POINT (-122.024475 36.970615)
1725,f-9q9-scmtdcom_1743,2704R,Santa Cruz Metro Center - Lane 4,Santa Cruz Metro,Bus,0,91X,91X,Commuter Express Santa Cruz / Watsonville,91X0010,60.0,,56.67,,1.0,,0.62,,10.0,,a46a4d28810f3e73,POINT (-122.024475 36.970615)
1726,f-9q9-scmtdcom_1744,2705R,W Beach (#600),Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,71387921125b63b9,POINT (-121.76696 36.905781)
1727,f-9q9-scmtdcom_1745,2706R,Ohlone Pkwy & Lighthouse Dr,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,bc5c05e8e00ca233,POINT (-121.774651 36.907745)
1728,f-9q9-scmtdcom_1746,2707R,Ohlone Pkwy & Loma Vista,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,d638d036a2eaa003,POINT (-121.774933 36.910149)
1729,f-9q9-scmtdcom_1747,2708R,Ohlone Pkwy & Kingfisher Dr,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,bed9d44a1d245c77,POINT (-121.777344 36.912548)
1730,f-9q9-scmtdcom_1748,2709R,Ohlone Pkwy & Egret Ln,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,5b85ccba747e6088,POINT (-121.778275 36.914127)
1731,f-9q9-scmtdcom_1749,2710R,Ohlone Pkwy & Harkins Slough Rd,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,3dd1ed2b60d4c30a,POINT (-121.778473 36.914452)
1732,f-9q9-scmtdcom_1750,2711R,Ohlone Pkwy & Kingfisher Dr,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,358987672b9a5fd6,POINT (-121.776939 36.912193)
1733,f-9q9-scmtdcom_1751,2712R,Ohlone Pkwy & Loma Vista,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,8859ab5347a25583,POINT (-121.775085 36.909637)
1734,f-9q9-scmtdcom_1752,2713R,Ohlone Pkwy & Bree Ln,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,73e10938b206eafa,POINT (-121.774376 36.906418)
1735,f-9q9-scmtdcom_1753,2714R,Holly Dr & Airport Rd,Santa Cruz Metro,Bus,0,72,72,Hospital / Pinto Lake,720004,60.0,60.0,60.0,,1.0,1.0,0.75,,12.0,,bdcc913196767ddb,POINT (-121.781326 36.931133)
1736,f-9q9-scmtdcom_1754,2715R,Natural Bridges Dr & Mission,Santa Cruz Metro,Bus,0,20,20,UCSC via Westside,200023,60.0,,60.0,60.0,1.0,0.5,0.69,0.38,11.0,6.0,91de29ffd09ad134,POINT (-122.057594 36.958874)
1737,f-9q9-scmtdcom_1755,2715R,Natural Bridges Dr & Mission,Santa Cruz Metro,Bus,0,20,20,UCSC via Westside,200024,,,60.5,60.0,,0.5,0.19,0.25,3.0,4.0,91de29ffd09ad134,POINT (-122.057594 36.958874)
1738,f-9q9-scmtdcom_1756,2716R,Natural Bridges Dr & Mission,Santa Cruz Metro,Bus,0,20,20,UCSC via Westside,200023,60.0,,60.0,60.0,1.0,0.5,0.69,0.38,11.0,6.0,b374943c538550fa,POINT (-122.057434 36.959156)
1739,f-9q9-scmtdcom_1757,2717R,Natural Bridges Dr & Delaware Ave,Santa Cruz Metro,Bus,0,20,20,UCSC via Westside,200023,60.0,,60.0,60.0,1.0,0.5,0.69,0.38,11.0,6.0,fcb347657bc1a798,POINT (-122.057137 36.95499)
